time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
0.83,index,,,,,,,No finger detected.
1.05,index,,,,,,,No finger detected.
1.24,index,,,,,,,No finger detected.
1.44,index,,,,,,,No finger detected.
1.64,index,,,,,,,No finger detected.
1.85,index,,,,,,,No finger detected.
2.04,index,,,,,,,No finger detected.
2.25,index,,,,,,,No finger detected.
2.44,index,,,,,,,No finger detected.
2.65,index,,,,,,,No finger detected.
2.84,index,,,,,,,No finger detected.
3.05,index,,,,,,,No finger detected.
3.24,index,,,,,,,No finger detected.
3.45,index,,,,,,,No finger detected.
3.84,index,2.44,2.66,0.87,1.29,21.1,32,ok
4.24,index,10.32,18.62,1.39,8.36,79.8,90,ok
4.43,index,9.68,14.36,2.75,5.64,83.6,74,ok
4.83,index,14.24,22.64,2.16,7.31,86.6,121,ok
5.04,index,10.15,12.94,1.61,8.81,85.5,102,ok
5.44,index,9.81,12.99,1.64,8.15,83.1,93,ok
5.84,index,9.64,16.89,1.86,7.18,82.8,91,ok
6.03,index,9.53,13.23,1.66,7.67,82.1,55,ok
6.43,index,9.67,21.12,1.86,7.22,83.4,95,ok
6.64,index,9.76,13.11,1.78,7.57,84.1,55,ok
7.04,index,9.81,16.8,1.89,7.31,84.7,57,ok
7.44,index,9.62,12.71,1.66,7.8,83.2,54,ok
7.64,index,9.81,12.94,1.59,8.36,84.9,58,ok
8.03,index,9.46,12.82,1.52,8.12,81.9,59,ok
8.43,index,9.69,12.94,1.6,8.14,83.9,57,ok
8.64,index,9.83,12.82,1.51,8.75,85.0,56,ok
9.03,index,9.79,12.71,1.57,8.41,84.7,57,ok
9.23,index,9.72,12.88,1.44,8.92,83.8,53,ok
9.63,index,9.79,12.78,1.65,8.08,84.2,54,ok
10.03,index,9.59,13.11,1.58,8.07,82.7,56,ok
10.23,index,9.66,16.24,1.65,7.89,83.2,57,ok
10.63,index,9.28,16.22,1.58,7.6,80.1,56,ok
11.03,index,9.81,16.22,1.57,8.45,84.7,58,ok
11.23,index,9.74,12.88,1.59,8.26,84.0,53,ok
11.63,index,9.3,13.0,1.51,7.92,80.2,52,ok
12.03,index,9.33,12.76,1.61,7.57,80.4,51,ok
12.23,index,9.63,12.88,1.71,7.63,83.0,56,ok
12.62,index,9.73,16.13,1.67,7.92,83.9,56,ok
13.02,index,9.09,12.99,1.48,7.73,78.4,53,ok
13.24,index,9.06,13.09,1.49,7.63,78.2,52,ok
13.63,index,9.33,16.13,1.71,7.21,80.4,55,ok
13.83,index,9.2,16.22,1.71,7.04,79.4,51,ok
14.22,index,9.83,12.88,1.65,8.15,84.8,55,ok
14.63,index,9.46,12.74,1.57,7.91,81.7,52,ok
14.84,index,9.62,16.1,2.18,6.83,86.3,85,ok
15.23,index,9.81,12.86,1.73,7.59,83.2,86,ok
15.63,index,9.65,13.19,1.71,7.15,80.2,84,ok
15.83,index,10.06,16.1,1.71,8.25,86.8,59,ok
16.23,index,9.23,12.86,1.51,7.81,79.7,51,ok
16.44,index,9.1,12.86,1.52,7.57,78.6,53,ok
16.83,index,9.29,16.1,1.72,7.13,80.2,57,ok
17.23,index,10.51,16.1,1.62,7.23,78.8,95,ok
17.63,index,9.3,15.99,1.76,7.03,80.3,53,ok
17.83,index,9.07,12.84,1.52,7.53,78.4,53,ok
18.23,index,8.95,12.86,1.47,7.54,77.2,54,ok
18.43,index,9.32,16.13,1.75,7.08,80.3,54,ok
18.83,index,9.26,12.86,1.53,7.76,79.9,57,ok
19.24,index,9.36,16.1,1.76,7.1,80.8,59,ok
19.42,index,9.16,16.13,1.65,7.18,78.9,55,ok
19.83,index,9.2,12.76,1.53,7.68,79.3,56,ok
20.04,index,9.31,13.11,1.6,7.57,80.2,56,ok
20.43,index,9.45,16.01,1.77,7.19,81.4,56,ok
20.83,index,9.32,12.88,1.55,7.78,80.3,60,ok
21.03,index,9.29,12.88,1.58,7.62,80.1,55,ok
21.43,index,9.1,12.88,1.5,7.66,78.5,56,ok
21.63,index,9.11,12.86,1.5,7.67,78.7,54,ok
22.03,index,9.23,13.0,1.5,7.85,79.5,55,ok
22.23,index,9.34,12.98,1.57,7.73,80.6,55,ok
22.63,index,9.2,12.86,1.48,7.89,79.4,56,ok
23.03,index,9.31,12.88,1.75,7.06,80.2,55,ok
