time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
1.22,index,,,,,,,No finger detected.
1.45,index,,,,,,,No finger detected.
1.64,index,,,,,,,No finger detected.
2.22,index,0.9,0.95,0.79,0.52,7.6,7,ok
2.83,index,12.81,14.25,1.88,8.7,91.0,110,ok
3.24,index,13.53,21.6,1.28,12.13,91.4,112,ok
3.84,index,10.79,11.4,2.01,8.25,90.9,98,ok
4.43,index,10.74,13.79,1.71,9.28,90.3,80,ok
5.02,index,10.55,13.51,1.53,9.86,89.0,77,ok
5.43,index,10.21,12.89,1.3,10.66,87.1,79,ok
6.03,index,9.19,12.95,1.16,11.39,86.6,83,ok
6.62,index,9.93,12.92,1.13,11.47,86.1,110,ok
7.03,index,9.46,13.13,0.98,12.61,84.6,86,ok
7.63,index,9.3,12.52,1.09,11.7,85.9,84,ok
8.23,index,9.28,12.42,0.67,18.45,85.7,83,ok
8.83,index,9.41,12.4,0.45,27.78,86.7,85,ok
9.42,index,9.6,12.54,0.41,30.81,87.1,86,ok
9.82,index,9.63,12.32,0.4,32.23,87.9,87,ok
10.43,index,9.69,12.55,0.39,33.18,88.1,86,ok
10.83,index,9.61,12.44,0.54,21.54,83.2,85,ok
11.42,index,9.65,12.78,0.48,26.66,87.5,85,ok
12.03,index,9.65,12.32,0.48,25.85,86.1,85,ok
12.43,index,9.54,12.32,0.51,24.34,86.1,85,ok
13.02,index,9.69,12.78,0.45,27.73,86.4,86,ok
13.63,index,9.7,12.32,0.44,27.87,85.6,86,ok
14.22,index,9.76,12.32,0.46,27.89,87.6,87,ok
14.62,index,10.29,17.39,0.54,24.27,88.4,93,ok
15.23,index,9.84,12.55,0.43,29.48,87.1,88,ok
15.82,index,9.86,12.55,0.43,29.99,87.9,88,ok
16.43,index,9.77,12.55,0.4,31.92,87.5,87,ok
17.02,index,9.83,12.44,0.43,30.15,88.1,88,ok
17.42,index,9.08,12.78,0.41,30.59,86.7,82,ok
18.03,index,9.77,12.55,0.41,31.39,87.8,87,ok
18.62,index,9.44,12.55,0.4,31.17,86.4,84,ok
19.23,index,9.14,12.67,0.46,27.61,87.1,82,ok
19.63,index,9.75,12.55,0.37,35.24,88.4,87,ok
20.22,index,9.63,12.32,0.4,31.95,87.5,85,ok
20.83,index,9.1,12.32,0.46,28.03,87.8,81,ok
21.42,index,9.17,12.44,0.38,34.23,88.3,81,ok
22.03,index,9.73,12.55,0.38,33.93,87.9,87,ok
22.62,index,9.18,12.55,0.45,29.26,88.8,82,ok
23.02,index,9.78,12.67,0.42,30.36,87.4,88,ok
23.63,index,9.8,12.78,0.42,30.01,86.9,87,ok
24.03,index,9.75,12.32,0.41,30.65,86.8,86,ok
24.62,index,9.74,12.32,0.43,29.97,87.8,87,ok
25.23,index,9.76,12.44,0.42,31.09,88.4,87,ok
25.82,index,9.7,12.55,0.45,28.44,87.5,86,ok
26.43,index,9.16,12.67,0.46,27.97,87.7,82,ok
26.83,index,9.71,12.21,0.42,28.43,84.5,86,ok
27.42,index,9.22,12.55,0.37,33.64,86.4,82,ok
28.03,index,10.19,12.44,0.38,34.32,88.4,72,ok
28.62,index,9.2,12.78,0.41,31.13,87.5,82,ok
29.23,index,9.22,12.78,0.36,35.62,87.7,82,ok
29.82,index,9.15,12.9,0.42,28.93,85.3,82,ok
30.22,index,9.15,12.78,0.36,34.85,86.8,83,ok
30.81,index,9.13,12.9,0.34,37.39,87.4,82,ok
31.42,index,9.11,12.67,0.37,34.65,87.7,82,ok
